CoCNumber,CoCName,TotalHomeless2016,HomelessVeterans2016,HomelessUnder25Youth2016,"Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
CA-600,Los Angeles City & County,43854,2728,3086,11073,32781,37726,6776,30950,6128,4297,1831,13468,660,12808,12970,616,12354,498,44,454,1243,1485,814,2272,125,42,83,2961,772,2189,196,148,48,0,0,0,196,148,48,258,190,68
NY-600,New York City,73523,559,1805,70685,2838,28965,26127,2838,44558,44558,0,4294,2481,1813,3230,1417,1813,1064,1064,0,527,32,1653,152,23,20,3,1782,1633,149,2261,2261,0,0,0,0,2261,2261,0,2681,2681,0
NV-500,Las Vegas/Clark County,6208,730,1531,2477,3731,5851,2131,3720,357,346,11,285,32,253,285,32,253,0,0,0,328,402,215,1316,279,15,264,1252,200,1052,28,23,5,1,1,0,27,22,5,36,31,5
CA-501,San Francisco,6996,580,1488,2638,4358,6309,1984,4325,687,654,33,1932,718,1214,1805,616,1189,127,102,25,228,352,125,1363,131,12,119,1357,113,1244,77,72,5,0,0,0,77,72,5,103,88,15
CA-500,San Jose/Santa Clara City & County,6524,701,885,1897,4627,5585,1021,4564,939,876,63,2146,128,2018,2095,110,1985,51,18,33,255,446,105,780,50,9,41,835,96,739,53,47,6,0,0,0,53,47,6,55,49,6
CA-601,San Diego City and County,8669,1156,830,3729,4940,6955,2297,4658,1714,1432,282,1417,309,1108,1345,258,1087,72,51,21,584,572,257,573,145,31,114,685,226,459,82,82,0,0,0,0,82,82,0,106,106,0
WA-500,Seattle/King County,10730,656,724,6225,4505,7748,3299,4449,2982,2926,56,814,456,358,785,427,358,29,29,0,536,120,389,335,26,25,1,698,364,334,129,129,0,2,2,0,127,127,0,231,231,0
CA-504,Santa Rosa/Petaluma/Sonoma County,2906,274,664,1000,1906,2517,631,1886,389,369,20,747,192,555,699,150,549,48,42,6,54,220,64,600,98,1,97,566,63,503,4,4,0,2,2,0,2,2,0,5,5,0
OR-505,Oregon Balance of State,5710,525,601,1859,3851,3429,1308,2121,2281,551,1730,1078,214,864,919,201,718,159,13,146,207,318,150,451,179,21,158,422,129,293,66,30,36,0,0,0,66,30,36,89,46,43
TX-607,Texas Balance of State (BoS),6048,64,457,3660,2388,3898,1683,2215,2150,1977,173,853,338,515,823,316,507,30,22,8,40,24,192,265,69,22,47,388,170,218,108,102,6,0,0,0,108,102,6,156,143,13
CA-614,San Luis Obispo County,1368,161,406,245,1123,1200,162,1038,168,83,85,418,9,409,388,6,382,30,3,27,48,113,17,389,14,0,14,392,17,375,14,7,7,0,0,0,14,7,7,14,7,7
AZ-502,Phoenix/Mesa/Maricopa County Regional,5702,450,370,4056,1646,3620,1980,1640,2082,2076,6,745,332,413,709,296,413,36,36,0,319,131,260,110,66,60,6,304,200,104,91,91,0,0,0,0,91,91,0,143,143,0
CO-503,Metropolitan Denver Homeless Initiative,5728,722,354,4931,797,3581,2861,720,2147,2070,77,739,528,211,716,509,207,23,19,4,649,73,246,108,34,25,9,320,221,99,95,92,3,1,1,0,94,91,3,149,143,6
CA-507,Marin County,1258,78,354,423,835,1070,244,826,188,179,9,257,24,233,257,24,233,0,0,0,37,41,3,351,6,0,6,348,3,345,0,0,0,0,0,0,0,0,0,0,0,0
GA-500,Atlanta Continuum of Care,4063,369,347,3225,838,3610,2831,779,453,394,59,556,290,266,531,280,251,25,10,15,366,3,329,18,5,5,0,342,324,18,22,21,1,0,0,0,22,21,1,37,36,1
CA-506,"Salinas/Monterey, San Benito Counties",3022,204,322,915,2107,2536,442,2094,486,473,13,660,98,562,631,69,562,29,29,0,83,121,50,272,46,0,46,276,50,226,29,29,0,0,0,0,29,29,0,29,29,0
WA-501,Washington Balance of State,5294,422,313,2759,2535,3181,1313,1868,2113,1446,667,788,128,660,693,102,591,95,26,69,213,209,146,167,21,15,6,292,131,161,86,72,14,0,0,0,86,72,14,114,97,17
IL-510,Chicago,5889,601,309,4646,1243,3721,2488,1233,2168,2158,10,343,110,233,334,110,224,9,0,9,399,202,281,28,4,2,2,305,279,26,192,192,0,1,1,0,191,191,0,279,279,0
CA-508,Watsonville/Santa Cruz City & County,1959,146,303,605,1354,1454,306,1148,505,299,206,573,156,417,498,123,375,75,33,42,33,113,54,249,32,4,28,271,50,221,34,20,14,0,0,0,34,20,14,42,21,21
OR-501,Portland-Gresham-Multnomah County,3914,420,284,2027,1887,3209,1480,1729,705,547,158,1053,178,875,1000,163,837,53,15,38,224,196,148,136,4,2,2,280,146,134,35,33,2,0,0,0,35,33,2,49,46,3
PA-500,Philadelphia,6112,293,282,5407,705,3430,2725,705,2682,2682,0,853,451,402,774,372,402,79,79,0,276,17,257,25,20,20,0,262,237,25,291,291,0,1,1,0,290,290,0,412,412,0
CA-502,Oakland/Alameda County,4145,401,271,1748,2397,3148,995,2153,997,753,244,753,214,539,668,167,501,85,47,38,170,231,200,71,11,11,0,260,189,71,65,65,0,0,0,0,65,65,0,71,71,0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties",1145,140,266,96,1049,885,54,831,260,42,218,216,7,209,175,5,170,41,2,39,28,112,13,253,13,11,2,253,2,251,3,1,2,0,0,0,3,1,2,5,1,4
CA-503,Sacramento City & County,2500,308,250,1552,948,1921,1010,911,579,542,37,540,222,318,507,194,313,33,28,5,166,142,100,150,6,2,4,244,98,146,47,47,0,0,0,0,47,47,0,64,64,0
IN-502,Indiana Balance of State,3711,283,243,3161,550,2367,1842,525,1344,1319,25,373,215,158,357,199,158,16,16,0,243,40,186,57,25,24,1,218,162,56,49,48,1,0,0,0,49,48,1,73,70,3
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties",4031,523,239,2835,1196,3055,1869,1186,976,966,10,516,132,384,511,127,384,5,5,0,376,147,162,77,17,13,4,222,149,73,34,34,0,0,0,0,34,34,0,56,56,0
CA-509,Mendocino County,1242,19,236,192,1050,1147,140,1007,95,52,43,177,76,101,177,76,101,0,0,0,5,14,21,215,0,0,0,236,21,215,3,2,1,0,0,0,3,2,1,3,2,1
MN-500,Minneapolis/Hennepin County,3056,137,222,2886,170,1465,1295,170,1591,1591,0,390,332,58,360,302,58,30,30,0,126,11,202,20,21,20,1,201,182,19,84,84,0,0,0,0,84,84,0,172,172,0
LA-503,New Orleans/Jefferson Parish,1626,92,218,909,717,1438,731,707,188,178,10,403,118,285,403,118,285,0,0,0,85,7,108,110,9,9,0,209,99,110,10,10,0,0,0,0,10,10,0,18,18,0
DC-500,District of Columbia,8350,350,211,8032,318,3683,3365,318,4667,4667,0,1597,1357,240,1501,1261,240,96,96,0,322,28,178,33,10,10,0,201,168,33,527,527,0,0,0,0,527,527,0,688,688,0
GA-501,Georgia Balance of State,5575,468,210,2057,3518,3392,660,2732,2183,1397,786,883,50,833,793,36,757,90,14,76,48,420,48,162,5,1,4,205,47,158,32,26,6,0,0,0,32,26,6,43,24,19
PA-509,Eastern Pennsylvania,2599,111,209,1996,603,1391,909,482,1208,1087,121,159,99,60,143,85,58,16,14,2,97,14,156,53,17,15,2,192,141,51,95,89,6,0,0,0,95,89,6,135,129,6
CO-500,Colorado Balance of State,3520,291,204,1689,1831,2006,920,1086,1514,769,745,703,182,521,571,167,404,132,15,117,133,158,75,129,4,0,4,200,75,125,54,35,19,1,0,1,53,35,18,59,37,22
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington",3960,144,203,3845,115,1076,963,113,2884,2882,2,174,157,17,94,77,17,80,80,0,141,3,196,7,13,13,0,190,183,7,156,156,0,0,0,0,156,156,0,233,233,0
FL-519,Pasco County,1055,100,188,195,860,793,113,680,262,82,180,404,13,391,267,13,254,137,0,137,30,70,14,174,127,3,124,61,11,50,17,2,15,0,0,0,17,2,15,28,4,24
FL-600,Miami/Dade County,4235,157,177,3253,982,3182,2202,980,1053,1051,2,472,135,337,435,98,337,37,37,0,126,31,165,12,46,45,1,131,120,11,46,46,0,0,0,0,46,46,0,90,90,0
WI-500,Wisconsin Balance of State,3445,236,170,3313,132,1547,1428,119,1898,1885,13,187,164,23,129,106,23,58,58,0,228,8,147,23,2,2,0,168,145,23,132,132,0,0,0,0,132,132,0,178,178,0
CA-609,San Bernardino City & County,1887,122,169,696,1191,1422,297,1125,465,399,66,405,20,385,376,16,360,29,4,25,29,93,46,123,25,7,18,144,39,105,15,12,3,0,0,0,15,12,3,25,19,6
NJ-504,Newark/Essex County,1779,52,169,1336,443,1171,738,433,608,598,10,97,8,89,94,5,89,3,3,0,32,20,143,26,14,14,0,155,129,26,60,60,0,0,0,0,60,60,0,74,74,0
HI-501,Honolulu,4940,413,168,2767,2173,2797,923,1874,2143,1844,299,1090,121,969,994,107,887,96,14,82,224,189,57,111,23,6,17,145,51,94,59,43,16,1,0,1,58,43,15,55,42,13
TX-500,San Antonio/Bexar County,2781,263,167,1644,1137,2048,949,1099,733,695,38,521,217,304,493,196,297,28,21,7,164,99,77,90,29,19,10,138,58,80,11,11,0,0,0,0,11,11,0,11,11,0
MI-500,Michigan Balance of State,1466,66,162,1244,222,815,626,189,651,618,33,43,24,19,43,24,19,0,0,0,48,18,124,38,25,21,4,137,103,34,30,29,1,0,0,0,30,29,1,33,31,2
MO-500,St. Louis County,465,51,162,417,48,256,212,44,209,205,4,18,8,10,18,8,10,0,0,0,49,2,149,13,108,107,1,54,42,12,13,13,0,0,0,0,13,13,0,13,13,0
NC-503,North Carolina Balance of State,2963,136,161,2128,835,1851,1293,558,1112,835,277,348,165,183,257,134,123,91,31,60,82,54,110,51,15,5,10,146,105,41,34,34,0,0,0,0,34,34,0,58,58,0
CA-608,Riverside City & County,2165,211,157,814,1351,1900,579,1321,265,235,30,378,77,301,369,70,299,9,7,2,111,100,75,82,17,16,1,140,59,81,10,9,1,0,0,0,10,9,1,13,12,1
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1699,197,154,1465,234,1170,946,224,529,519,10,475,397,78,385,309,76,90,88,2,176,21,95,59,50,26,24,104,69,35,20,20,0,5,5,0,15,15,0,25,25,0
TX-600,Dallas City & County/Irving,3810,307,153,3071,739,2633,1900,733,1177,1171,6,597,464,133,566,433,133,31,31,0,253,54,130,23,34,34,0,119,96,23,51,51,0,4,4,0,47,47,0,72,72,0
MI-501,Detroit,2335,354,151,2142,193,1694,1508,186,641,634,7,329,226,103,307,204,103,22,22,0,336,18,146,5,4,4,0,147,142,5,67,66,1,2,2,0,65,64,1,99,97,2
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",1272,98,151,312,960,1065,224,841,207,88,119,425,57,368,394,49,345,31,8,23,32,66,21,130,7,0,7,144,21,123,0,0,0,0,0,0,0,0,0,0,0,0
MN-501,Saint Paul/Ramsey County,1346,48,151,1210,136,802,675,127,544,535,9,210,179,31,175,151,24,35,28,7,47,1,133,18,17,17,0,134,116,18,50,50,0,5,5,0,45,45,0,76,76,0
CA-602,Santa Ana/Anaheim/Orange County,4319,455,145,2118,2201,3028,833,2195,1291,1285,6,716,269,447,711,264,447,5,5,0,99,356,40,105,14,12,2,131,28,103,32,32,0,0,0,0,32,32,0,42,42,0
FL-601,Ft Lauderdale/Broward County,2302,210,144,1520,782,1844,1085,759,458,435,23,430,150,280,400,139,261,30,11,19,129,81,107,37,14,6,8,130,101,29,19,18,1,0,0,0,19,18,1,25,24,1
HI-500,Hawaii Balance of State,2981,257,141,846,2135,1793,359,1434,1188,487,701,859,16,843,665,13,652,194,3,191,40,217,25,116,3,0,3,138,25,113,33,9,24,0,0,0,33,9,24,30,8,22
CA-603,Santa Maria/Santa Barbara County,1813,122,133,923,890,1385,577,808,428,346,82,453,122,331,426,122,304,27,0,27,43,79,75,58,9,7,2,124,68,56,9,9,0,0,0,0,9,9,0,10,10,0
ME-500,Maine Balance of State,1482,104,133,1415,67,774,721,53,708,694,14,87,67,20,72,52,20,15,15,0,90,14,120,13,31,29,2,102,91,11,28,26,2,3,3,0,25,23,2,32,31,1
NV-501,Reno/Sparks/Washoe County,989,111,129,869,120,877,757,120,112,112,0,35,11,24,35,11,24,0,0,0,103,8,90,39,13,13,0,116,77,39,4,4,0,0,0,0,4,4,0,4,4,0
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County,2777,380,127,1638,1139,2383,1263,1120,394,375,19,607,141,466,603,141,462,4,0,4,269,111,89,38,34,34,0,93,55,38,14,13,1,3,3,0,11,10,1,23,21,2
NE-501,Omaha/Council Bluffs,1509,134,125,1452,57,1110,1053,57,399,399,0,200,168,32,167,135,32,33,33,0,128,6,125,0,8,8,0,117,117,0,5,5,0,0,0,0,5,5,0,7,7,0
OH-503,Columbus/Franklin County,1724,133,125,1385,339,1263,924,339,461,461,0,160,44,116,156,40,116,4,4,0,103,30,99,26,7,7,0,118,92,26,45,45,0,1,1,0,44,44,0,60,60,0
WI-501,Milwaukee City & County,1415,97,123,1208,207,856,652,204,559,556,3,58,43,15,58,43,15,0,0,0,87,10,84,39,16,11,5,107,73,34,36,36,0,0,0,0,36,36,0,63,63,0
AZ-501,Tucson/Pima County,1765,281,121,1384,381,1305,926,379,460,458,2,213,93,120,211,91,120,2,2,0,232,49,107,14,16,15,1,105,92,13,44,44,0,0,0,0,44,44,0,60,60,0
OH-507,Ohio Balance of State,3032,207,120,2587,445,1675,1296,379,1357,1291,66,182,78,104,173,78,95,9,0,9,179,28,112,8,2,2,0,118,110,8,84,79,5,0,0,0,84,79,5,119,112,7
KY-500,Kentucky Balance of State,2057,164,119,1484,573,1240,822,418,817,662,155,93,31,62,79,29,50,14,2,12,130,34,80,39,8,8,0,111,72,39,42,39,3,0,0,0,42,39,3,59,55,4
NY-500,Rochester/Irondequoit/Greece/Monroe County,860,66,119,791,69,541,477,64,319,314,5,184,164,20,181,164,17,3,0,3,60,6,110,9,25,24,1,94,86,8,38,38,0,1,1,0,37,37,0,50,50,0
OK-502,Oklahoma City,1511,157,118,1204,307,1202,895,307,309,309,0,320,207,113,286,173,113,34,34,0,124,33,108,10,0,0,0,118,108,10,11,11,0,0,0,0,11,11,0,22,22,0
OR-500,Eugene/Springfield/Lane County,1451,162,114,517,934,1227,388,839,224,129,95,574,86,488,506,71,435,68,15,53,52,110,47,67,13,7,6,101,40,61,4,3,1,0,0,0,4,3,1,4,3,1
CA-518,Vallejo/Solano County,1118,119,114,323,795,955,177,778,163,146,17,259,41,218,252,38,214,7,3,4,54,65,6,108,9,0,9,105,6,99,3,2,1,1,1,0,2,1,1,5,4,1
IA-501,Iowa Balance of State,1923,58,112,1858,65,822,757,65,1101,1101,0,101,88,13,83,70,13,18,18,0,55,3,105,7,17,17,0,95,88,7,69,69,0,0,0,0,69,69,0,106,106,0
TX-503,Austin/Travis County,2138,257,111,1322,816,1513,704,809,625,618,7,742,173,569,736,170,566,6,3,3,150,107,67,44,10,9,1,101,58,43,39,39,0,1,1,0,38,38,0,67,67,0
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County,1156,167,110,1108,48,755,707,48,401,401,0,94,74,20,94,74,20,0,0,0,164,3,108,2,0,0,0,110,108,2,18,18,0,0,0,0,18,18,0,30,30,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties",1228,158,110,1032,196,927,743,184,301,289,12,92,29,63,92,29,63,0,0,0,156,2,88,22,9,9,0,101,79,22,12,12,0,5,5,0,7,7,0,19,19,0
MO-501,St.Louis City,1248,140,108,1150,98,788,690,98,460,460,0,168,132,36,133,97,36,35,35,0,137,3,104,4,1,1,0,107,103,4,41,41,0,0,0,0,41,41,0,82,82,0
MO-606,Missouri Balance of State,1431,115,108,1056,375,837,567,270,594,489,105,201,137,64,134,89,45,67,48,19,88,27,86,22,36,31,5,72,55,17,22,18,4,0,0,0,22,18,4,26,23,3
CA-510,Turlock/Modesto/Stanislaus County,1434,74,108,704,730,1147,485,662,287,219,68,361,114,247,238,106,132,123,8,115,39,35,46,62,10,10,0,98,36,62,14,9,5,4,4,0,10,5,5,14,9,5
FL-510,"Jacksonville-Duval, Clay Counties",1959,130,107,1518,441,1466,1025,441,493,493,0,337,193,144,325,181,144,12,12,0,104,26,80,27,22,22,0,85,58,27,7,7,0,0,0,0,7,7,0,10,10,0
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties",2382,50,105,248,2134,925,62,863,1457,186,1271,77,0,77,77,0,77,0,0,0,3,47,28,77,8,8,0,97,20,77,17,8,9,0,0,0,17,8,9,31,19,12
CA-522,Humboldt County,1134,131,102,198,936,989,100,889,145,98,47,377,0,377,362,0,362,15,0,15,39,92,18,84,22,18,4,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0
SC-503,Myrtle Beach/Sumter City & County,1322,231,101,490,832,965,358,607,357,132,225,229,49,180,211,45,166,18,4,14,43,188,42,59,12,10,2,89,32,57,14,13,1,1,1,0,13,12,1,29,28,1
CA-514,Fresno/Madera County,1883,228,101,452,1431,1684,276,1408,199,176,23,546,18,528,529,18,511,17,0,17,84,144,44,57,2,2,0,99,42,57,25,25,0,1,1,0,24,24,0,30,30,0
